iter	Passed	Remaining
0	7	7552
1	11	5912
2	17	5939
3	23	5874
4	29	5890
5	35	5962
6	41	5949
7	48	5975
8	54	5994
9	60	5979
10	66	5997
11	72	5969
12	78	5943
13	84	5918
14	89	5880
15	94	5830
16	100	5809
17	105	5774
18	111	5741
19	116	5721
20	122	5700
21	127	5675
22	133	5657
23	138	5628
24	143	5613
25	149	5616
26	155	5597
27	160	5585
28	166	5574
29	171	5553
30	177	5536
31	182	5524
32	187	5508
33	193	5490
34	198	5478
35	204	5470
36	209	5454
37	215	5445
38	220	5427
39	225	5416
40	231	5411
41	236	5402
42	242	5392
43	248	5393
44	253	5382
45	258	5368
46	264	5360
47	269	5348
48	275	5339
49	281	5339
50	286	5334
51	292	5333
52	297	5322
53	303	5309
54	308	5305
55	314	5294
56	319	5285
57	324	5277
58	330	5270
59	336	5265
60	342	5265
61	347	5257
62	352	5246
63	358	5239
64	364	5239
65	369	5230
66	375	5228
67	381	5224
68	386	5214
69	392	5209
70	397	5203
71	402	5193
72	408	5189
73	414	5187
74	419	5175
75	425	5173
76	431	5167
77	436	5157
78	442	5157
79	447	5150
80	453	5143
81	459	5144
82	464	5134
83	470	5131
84	476	5126
85	481	5119
86	486	5110
87	492	5103
88	498	5098
89	503	5089
90	508	5083
91	514	5075
92	519	5067
93	525	5060
94	530	5051
95	535	5040
96	540	5034
97	545	5024
98	550	5014
99	556	5006
100	561	4998
101	566	4989
102	572	4982
103	577	4975
104	582	4965
105	587	4958
106	592	4947
107	597	4938
108	603	4933
109	608	4926
110	613	4915
111	618	4906
112	624	4901
113	629	4893
114	634	4884
115	640	4879
116	645	4870
117	650	4862
118	655	4855
119	660	4845
120	665	4835
121	671	4830
122	676	4823
123	681	4817
124	687	4811
125	692	4804
126	697	4796
127	702	4788
128	708	4780
129	712	4770
130	717	4762
131	723	4755
132	728	4746
133	733	4740
134	739	4736
135	744	4729
136	749	4721
137	755	4717
138	760	4712
139	765	4704
140	771	4701
141	777	4696
142	782	4691
143	788	4688
144	794	4682
145	799	4674
146	804	4670
147	809	4662
148	815	4655
149	820	4649
150	825	4640
151	830	4633
152	836	4628
153	841	4621
154	846	4615
155	851	4608
156	856	4601
157	861	4592
158	867	4586
159	872	4580
160	877	4574
161	883	4569
162	888	4562
163	893	4557
164	899	4552
165	904	4543
166	909	4537
167	915	4531
168	920	4526
169	925	4518
170	930	4512
171	935	4505
172	941	4499
173	946	4490
174	951	4486
175	956	4479
176	962	4474
177	968	4472
178	974	4467
179	979	4463
180	985	4459
181	991	4454
182	997	4451
183	1002	4446
184	1007	4440
185	1013	4435
186	1018	4427
187	1023	4420
188	1028	4413
189	1033	4407
190	1038	4400
191	1044	4394
192	1049	4388
193	1054	4382
194	1060	4377
195	1065	4371
196	1071	4366
197	1075	4358
198	1082	4355
199	1087	4348
200	1092	4343
201	1098	4338
202	1103	4331
203	1108	4324
204	1113	4318
205	1118	4311
206	1123	4305
207	1128	4298
208	1134	4291
209	1139	4285
210	1144	4280
211	1149	4273
212	1154	4266
213	1159	4258
214	1165	4253
215	1170	4247
216	1175	4241
217	1181	4237
218	1186	4232
219	1191	4225
220	1197	4221
221	1202	4214
